               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  52,             0.02315,            0.023952,           0.0049469,             0.63881,             0.66576,             0.67984,             0.46123,            0.011815,           0.0075125,           0.0029481,            0.004951,            0.004951,            0.004951,             0.43478,             0.58939,             0.16859,             0.84303,             0.49504,             0.23655,             0.70772,             0.87613,               0.195,             0.98884,             0.71793,              0.5934
                  53,            0.023187,            0.023923,           0.0048688,              0.8197,             0.55528,             0.64874,             0.41108,            0.011884,           0.0087905,           0.0024705,            0.004852,            0.004852,            0.004852,             0.40337,             0.49863,             0.10462,             0.75838,             0.37869,             0.32281,             0.70459,             0.79857,             0.13611,             0.90447,             0.64847,             0.70023
                  54,            0.022562,            0.025253,            0.005073,             0.78849,             0.54133,             0.61737,             0.37474,            0.013705,           0.0093623,           0.0026588,            0.004753,            0.004753,            0.004753,             0.41349,             0.38128,            0.070521,             0.70434,             0.42167,             0.25713,             0.67453,             0.79024,             0.10317,              0.8929,              0.7157,             0.52771
                  55,             0.02271,            0.023238,           0.0052401,              0.7876,             0.58007,             0.71415,             0.44724,            0.012993,           0.0084344,           0.0022678,            0.004654,            0.004654,            0.004654,             0.41429,             0.47887,             0.29581,             0.72108,             0.49951,             0.27389,             0.68325,             0.77971,             0.52538,             0.92622,               0.736,             0.63437
                  56,            0.022295,            0.022508,           0.0049322,             0.61877,             0.76032,              0.7457,             0.44954,            0.014481,           0.0084895,           0.0020446,            0.004555,            0.004555,            0.004555,             0.40368,             0.46209,             0.27723,             0.74897,             0.51512,             0.29017,             0.72205,             0.86382,             0.57563,             0.95908,             0.76584,             0.58778
                  57,             0.02213,            0.023051,           0.0057713,             0.55959,             0.75297,             0.66588,             0.41247,             0.01301,            0.008659,           0.0024118,            0.004456,            0.004456,            0.004456,             0.37507,             0.46988,             0.14347,             0.75122,             0.44536,             0.28982,             0.69259,             0.78698,              0.2862,             0.95159,             0.72675,             0.55115
                  58,             0.02259,            0.023654,           0.0041243,             0.69734,             0.62607,              0.7283,             0.46123,            0.012302,           0.0081996,           0.0024503,            0.004357,            0.004357,            0.004357,             0.40942,             0.49612,             0.30936,             0.78444,              0.4685,             0.29954,              0.6873,             0.85171,               0.573,             0.97752,             0.70577,              0.5745
                  59,             0.02196,            0.025058,           0.0040527,              0.6803,             0.64206,             0.70159,              0.4579,            0.012592,           0.0089009,           0.0027539,            0.004258,            0.004258,            0.004258,             0.40175,             0.50866,              0.2191,             0.73222,             0.48423,             0.40142,             0.70142,              0.7891,             0.32365,             0.92118,             0.73151,             0.74271
                  60,            0.021751,             0.02293,           0.0041649,             0.71934,             0.65133,             0.73383,             0.48323,            0.012256,            0.008338,            0.002562,            0.004159,            0.004159,            0.004159,             0.42404,             0.54385,             0.29405,             0.77326,             0.49666,             0.36752,             0.77047,             0.86731,             0.39338,             0.93471,             0.73435,             0.70277
                  61,            0.021623,            0.023391,           0.0034438,             0.69908,             0.68413,             0.70795,             0.47343,             0.01101,           0.0080303,           0.0026036,             0.00406,             0.00406,             0.00406,             0.44532,             0.56043,             0.28341,             0.76595,             0.44972,             0.33577,             0.73099,             0.85475,             0.37308,             0.92088,             0.72426,             0.64377
