               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  41,            0.029992,            0.028423,           0.0056706,             0.53727,             0.56738,             0.57946,             0.36924,            0.014235,           0.0083486,           0.0039943,             0.00604,             0.00604,             0.00604,             0.34858,             0.42767,            0.021987,             0.72994,              0.3687,             0.31858,             0.63335,             0.78816,            0.030583,             0.88564,             0.62912,             0.50989
                  42,            0.028338,            0.028265,           0.0061614,             0.60335,             0.59295,             0.62165,             0.40732,            0.014458,           0.0078256,           0.0031588,            0.005941,            0.005941,            0.005941,             0.38025,             0.52643,            0.015528,             0.74366,             0.40209,             0.37593,             0.65736,             0.91166,            0.031094,             0.91472,             0.61501,             0.60005
                  43,            0.026542,            0.027872,           0.0058972,             0.63414,             0.57787,             0.63988,             0.41453,            0.012448,           0.0079279,            0.002959,            0.005842,            0.005842,            0.005842,             0.40903,             0.52292,            0.091013,             0.75101,             0.33919,             0.37403,             0.65105,             0.85538,             0.11867,             0.92752,             0.56702,             0.71967
                  44,             0.02554,            0.027514,           0.0060097,             0.60296,             0.66702,             0.65631,             0.44445,            0.012513,           0.0077059,           0.0029736,            0.005743,            0.005743,            0.005743,             0.42413,             0.54366,            0.078135,             0.78426,             0.40876,             0.42774,             0.72403,             0.78799,             0.14975,             0.96401,             0.61149,             0.70059
                  45,            0.026693,            0.027112,           0.0054224,             0.73421,              0.5588,             0.64102,             0.41744,            0.014187,           0.0080174,           0.0030766,            0.005644,            0.005644,            0.005644,             0.43385,             0.54288,            0.077598,             0.74816,             0.37672,             0.32542,             0.75823,               0.853,             0.16316,             0.95144,             0.57403,             0.54625
                  46,            0.027166,            0.029499,           0.0052926,             0.56242,             0.62966,             0.65141,             0.42019,             0.01309,           0.0084394,           0.0031771,            0.005545,            0.005545,            0.005545,             0.40965,             0.46642,             0.16566,             0.77933,             0.41879,              0.2813,             0.67008,             0.80817,             0.31473,               0.949,             0.60687,             0.55964
                  47,            0.025825,            0.026594,           0.0065283,             0.53496,             0.56998,             0.61132,             0.41409,            0.013903,           0.0086027,             0.00317,            0.005446,            0.005446,            0.005446,             0.36336,             0.50727,            0.069303,             0.75015,             0.35427,              0.4402,             0.66175,             0.81129,            0.096151,             0.94778,             0.51687,             0.63409
                  48,            0.026058,            0.027493,           0.0049362,             0.78659,             0.52923,             0.60119,             0.41376,            0.012918,           0.0086722,           0.0028696,            0.005347,            0.005347,            0.005347,             0.38236,             0.48932,            0.044182,             0.74614,             0.33786,             0.48269,             0.64348,             0.79815,              0.0833,             0.95199,             0.43736,             0.69284
                  49,            0.026316,            0.026628,           0.0058237,             0.71825,              0.5903,             0.67833,             0.44477,            0.014084,           0.0078166,           0.0027773,            0.005248,            0.005248,            0.005248,             0.41731,             0.44852,             0.16573,             0.75873,             0.49914,             0.37917,             0.69915,              0.7995,             0.32425,             0.95009,             0.66671,             0.63026
                  50,            0.026794,            0.028479,           0.0052034,             0.68985,             0.65675,             0.67274,             0.45738,            0.013384,           0.0078716,           0.0027851,            0.005149,            0.005149,            0.005149,             0.40958,             0.45786,              0.3395,             0.68067,              0.5313,             0.32535,             0.69008,             0.81761,             0.38738,             0.88046,             0.67256,             0.58835
                  51,             0.02514,            0.025928,            0.004316,             0.66829,             0.69252,             0.73264,             0.46336,            0.012239,           0.0084513,           0.0028469,             0.00505,             0.00505,             0.00505,             0.39858,             0.51642,             0.32478,             0.74773,             0.50265,                0.29,             0.72485,             0.87779,             0.67565,             0.91217,             0.72641,             0.47896
                  52,            0.025129,            0.026525,           0.0066019,              0.7828,              0.5418,             0.65008,             0.44403,            0.013302,           0.0085888,           0.0029428,            0.004951,            0.004951,            0.004951,             0.42924,             0.53067,             0.24305,             0.70874,             0.46607,             0.28643,             0.67744,             0.89054,             0.28536,             0.90158,              0.7127,             0.43285
                  53,            0.025574,            0.025531,           0.0070349,             0.69334,              0.5919,             0.65901,              0.4674,            0.013831,           0.0086514,           0.0038563,            0.004852,            0.004852,            0.004852,              0.4233,             0.58034,             0.41431,             0.71316,             0.42234,             0.25092,             0.66661,              0.8694,             0.42667,              0.9091,             0.71412,             0.36813
                  54,            0.024974,            0.025999,           0.0081052,             0.76911,             0.65133,             0.68521,             0.42242,            0.013755,           0.0081956,            0.003306,            0.004753,            0.004753,            0.004753,             0.43115,             0.47909,             0.14057,             0.78901,             0.45568,             0.23903,             0.71825,             0.91172,               0.405,             0.95348,             0.66354,             0.45925
                  55,            0.026003,            0.024077,           0.0059032,             0.63184,             0.59358,             0.68369,             0.44941,            0.012987,           0.0082449,           0.0033024,            0.004654,            0.004654,            0.004654,             0.43904,             0.51066,             0.23647,             0.82852,             0.38143,             0.30034,             0.74105,             0.90417,             0.44832,             0.94426,             0.63248,             0.43187
                  56,            0.024766,            0.025852,           0.0041457,             0.89563,             0.59045,             0.71483,             0.49714,            0.012969,           0.0081319,           0.0032553,            0.004555,            0.004555,            0.004555,             0.37893,              0.4679,             0.57765,             0.78307,             0.45973,             0.31555,             0.70832,             0.89246,             0.68802,             0.94645,             0.63932,             0.41437
                  57,             0.02339,            0.025863,           0.0056237,             0.75386,             0.68244,             0.73557,             0.52728,            0.012445,           0.0084644,           0.0031247,            0.004456,            0.004456,            0.004456,             0.43369,             0.49847,             0.51089,              0.8309,             0.49712,             0.39259,             0.76947,              0.8365,                0.61,             0.97915,             0.64342,              0.5749
                  58,            0.025641,            0.025928,           0.0046205,             0.71719,             0.70228,             0.71944,             0.49744,            0.012923,           0.0085297,           0.0031231,            0.004357,            0.004357,            0.004357,             0.47194,             0.54445,             0.33286,             0.78967,             0.54146,             0.30422,             0.78525,             0.84106,              0.4425,             0.95796,             0.70023,             0.58962
                  59,            0.023215,            0.026018,           0.0040792,             0.69033,             0.66475,             0.70963,              0.4941,            0.011762,           0.0091877,           0.0033068,            0.004258,            0.004258,            0.004258,              0.3837,             0.48815,             0.46857,             0.78686,             0.45404,              0.3833,             0.72547,             0.82198,              0.5715,             0.93698,             0.63616,             0.56567
